MarkValue	File Time	Real Time	Channel	Ch Value	
smile	48.368000	10:40:07.469	All	0.000000	
neutral	71.160000	10:40:30.261	All	0.000000	
Smile	144.136000	10:41:43.237	All	0.000000	
Neutral	155.232000	10:41:54.333	All	0.000000	
Frown	165.208000	10:42:04.309	All	0.000000	
Neutral	173.056000	10:42:12.157	All	0.000000	
Smile	190.120000	10:42:29.221	All	0.000000	
Smile	195.080000	10:42:34.181	All	0.000000	
Neutral	201.384000	10:42:40.485	All	0.000000	
Frown	209.920000	10:42:49.021	All	0.000000	
Neutral	219.048000	10:42:58.149	All	0.000000	
Smile	229.208000	10:43:08.309	All	0.000000	
Neutral	237.056000	10:43:16.157	All	0.000000	
Frown	243.880000	10:43:22.981	All	0.000000	
Neutral	252.688000	10:43:31.789	All	0.000000	
Blank	335.232000	10:44:54.333	All	0.000000	
Blank	363.184000	10:45:22.285	All	0.000000	
+Dog2	368.264000	10:45:27.365	All	0.000000	
Blank	373.248000	10:45:32.349	All	0.000000	
+Baby2	378.328000	10:45:37.429	All	0.000000	
Blank	383.312000	10:45:42.413	All	0.000000	
-Spider2	388.384000	10:45:47.485	All	0.000000	
Blank	393.376000	10:45:52.477	All	0.000000	
+Friends2	398.448000	10:45:57.549	All	0.000000	
Blank	403.440000	10:46:02.541	All	0.000000	
-Snake	408.512000	10:46:07.613	All	0.000000	
Blank	413.504000	10:46:12.605	All	0.000000	
+Dog1	418.576000	10:46:17.677	All	0.000000	
Blank	423.560000	10:46:22.661	All	0.000000	
-Dog1	428.632000	10:46:27.733	All	0.000000	
Blank	433.624000	10:46:32.725	All	0.000000	
+Cat2	438.696000	10:46:37.797	All	0.000000	
Blank	443.688000	10:46:42.789	All	0.000000	
-Dog2	448.760000	10:46:47.861	All	0.000000	
Blank	453.752000	10:46:52.853	All	0.000000	
-Spider1	458.736000	10:46:57.837	All	0.000000	
Blank	463.808000	10:47:02.909	All	0.000000	
+Dog3	468.800000	10:47:07.901	All	0.000000	
Blank	473.872000	10:47:12.973	All	0.000000	
-Face	478.864000	10:47:17.965	All	0.000000	
Blank	483.936000	10:47:23.037	All	0.000000	
+Friends1	488.928000	10:47:28.029	All	0.000000	
Blank	493.912000	10:47:33.013	All	0.000000	
-Spider3	498.992000	10:47:38.093	All	0.000000	
Blank	503.976000	10:47:43.077	All	0.000000	
+Baby1	509.056000	10:47:48.157	All	0.000000	
Blank	514.039000	10:47:53.140	All	0.000000	
-Cut	519.111000	10:47:58.212	All	0.000000	
Blank	524.111000	10:48:03.212	All	0.000000	
-Gun	529.184000	10:48:08.285	All	0.000000	
Blank	534.176000	10:48:13.277	All	0.000000	
+Cat-Dog	539.160000	10:48:18.261	All	0.000000	
Blank	544.152000	10:48:23.253	All	0.000000	
-Sore	549.232000	10:48:28.333	All	0.000000	
Blank	554.224000	10:48:33.325	All	0.000000	
+Cat1	559.296000	10:48:38.397	All	0.000000	
Blank	564.280000	10:48:43.381	All	0.000000	
