MarkValue	File Time	Real Time	Channel	Ch Value	
Smile	2.864000	10:43:06.016	All	0.000000	
Neutral	63.074000	10:44:06.226	All	0.000000	
Frown	80.602000	10:44:23.754	All	0.000000	
Neutral	97.530000	10:44:40.682	All	0.000000	
Smile	117.282000	10:45:00.434	All	0.000000	
Neutral	129.482000	10:45:12.634	All	0.000000	
Frown	138.266000	10:45:21.418	All	0.000000	
Blank	157.738000	10:45:40.890	All	0.000000	
+Dog2	162.850000	10:45:46.002	All	0.000000	
Blank	167.818000	10:45:50.970	All	0.000000	
+Baby2	172.938000	10:45:56.090	All	0.000000	
Blank	177.970000	10:46:01.122	All	0.000000	
-Spider2	183.002000	10:46:06.154	All	0.000000	
Blank	188.026000	10:46:11.178	All	0.000000	
+Friends2	193.066000	10:46:16.218	All	0.000000	
Blank	198.106000	10:46:21.258	All	0.000000	
-Snake	203.154000	10:46:26.306	All	0.000000	
Blank	208.202000	10:46:31.354	All	0.000000	
+Dog1	213.250000	10:46:36.402	All	0.000000	
Blank	218.290000	10:46:41.442	All	0.000000	
-Dog1	223.346000	10:46:46.498	All	0.000000	
Blank	228.394000	10:46:51.546	All	0.000000	
+Cat2	233.442000	10:46:56.594	All	0.000000	
Blank	238.482000	10:47:01.634	All	0.000000	
-Dog2	243.530000	10:47:06.682	All	0.000000	
Blank	248.586000	10:47:11.738	All	0.000000	
-Spider1	253.634000	10:47:16.786	All	0.000000	
Blank	258.674000	10:47:21.826	All	0.000000	
+Dog3	263.722000	10:47:26.874	All	0.000000	
Blank	268.754000	10:47:31.906	All	0.000000	
-Face	273.794000	10:47:36.946	All	0.000000	
Blank	278.842000	10:47:41.994	All	0.000000	
+Friends1	283.890000	10:47:47.042	All	0.000000	
Blank	288.946000	10:47:52.098	All	0.000000	
-Spider3	293.994000	10:47:57.146	All	0.000000	
Blank	299.042000	10:48:02.194	All	0.000000	
+Baby1	304.082000	10:48:07.234	All	0.000000	
Blank	309.138000	10:48:12.290	All	0.000000	
-Cut	314.186000	10:48:17.338	All	0.000000	
Blank	319.234000	10:48:22.386	All	0.000000	
-Gun	324.282000	10:48:27.434	All	0.000000	
Blank	329.338000	10:48:32.490	All	0.000000	
+Cat-Dog	334.370000	10:48:37.522	All	0.000000	
Blank	339.426000	10:48:42.578	All	0.000000	
-Sore	344.466000	10:48:47.618	All	0.000000	
Blank	349.514000	10:48:52.666	All	0.000000	
+Cat1	354.554000	10:48:57.706	All	0.000000	
Blank	359.610000	10:49:02.762	All	0.000000	
