MarkValue	File Time	Real Time	Channel	Ch Value	
Blank	120.687000	10:41:12.477	All	0.000000	
+Dog2	125.703000	10:41:17.493	All	0.000000	
Blank	130.743000	10:41:22.533	All	0.000000	
Blank	195.382000	10:42:27.172	All	0.000000	
+Dog2	200.398000	10:42:32.188	All	0.000000	
Blank	316.658000	10:44:28.448	All	0.000000	
Blank	469.932000	10:47:01.722	All	0.000000	
+Dog2	474.972000	10:47:06.762	All	0.000000	
Blank	480.012000	10:47:11.802	All	0.000000	
+Baby2	485.060000	10:47:16.850	All	0.000000	
Blank	490.012000	10:47:21.802	All	0.000000	
-Spider2	495.116000	10:47:26.906	All	0.000000	
Blank	500.067000	10:47:31.857	All	0.000000	
+Friends2	505.100000	10:47:36.890	All	0.000000	
Blank	510.132000	10:47:41.922	All	0.000000	
-Snake	515.244000	10:47:47.034	All	0.000000	
Blank	520.284000	10:47:52.074	All	0.000000	
+Dog1	525.332000	10:47:57.122	All	0.000000	
Blank	530.372000	10:48:02.162	All	0.000000	
-Dog1	535.412000	10:48:07.202	All	0.000000	
Blank	540.452000	10:48:12.242	All	0.000000	
+Cat2	545.508000	10:48:17.298	All	0.000000	
Blank	550.548000	10:48:22.338	All	0.000000	
-Dog2	555.588000	10:48:27.378	All	0.000000	
Blank	560.628000	10:48:32.418	All	0.000000	
-Spider1	565.660000	10:48:37.450	All	0.000000	
Blank	570.708000	10:48:42.498	All	0.000000	
+Dog3	575.748000	10:48:47.538	All	0.000000	
Blank	580.780000	10:48:52.570	All	0.000000	
-Face	585.740000	10:48:57.530	All	0.000000	
Blank	590.780000	10:49:02.570	All	0.000000	
+Friends1	595.820000	10:49:07.610	All	0.000000	
Blank	600.860000	10:49:12.650	All	0.000000	
-Spider3	605.900000	10:49:17.690	All	0.000000	
Blank	610.948000	10:49:22.738	All	0.000000	
+Baby1	615.996000	10:49:27.786	All	0.000000	
Blank	621.020000	10:49:32.810	All	0.000000	
-Cut	626.068000	10:49:37.858	All	0.000000	
Blank	631.100000	10:49:42.890	All	0.000000	
-Gun	636.132000	10:49:47.922	All	0.000000	
Blank	641.180000	10:49:52.970	All	0.000000	
+Cat-Dog	646.220000	10:49:58.010	All	0.000000	
Blank	651.268000	10:50:03.058	All	0.000000	
-Sore	656.380000	10:50:08.170	All	0.000000	
Blank	661.436000	10:50:13.226	All	0.000000	
+Cat1	666.388000	10:50:18.178	All	0.000000	
Blank	671.508000	10:50:23.298	All	0.000000	
