MarkValue	File Time	Real Time	Channel	Ch Value	
smile	261.504000	14:51:33.251	All	0.000000	
mark	267.392000	14:51:39.139	All	0.000000	
smile	305.928000	14:52:17.675	All	0.000000	
smile	326.600000	14:52:38.347	All	0.000000	
neutral	337.848000	14:52:49.595	All	0.000000	
frown	354.224000	14:53:05.971	All	0.000000	
mark	357.472000	14:53:09.219	All	0.000000	
neutral	366.840000	14:53:18.587	All	0.000000	
frown	373.496000	14:53:25.243	All	0.000000	
neutral	381.520000	14:53:33.267	All	0.000000	
smile	391.512000	14:53:43.259	All	0.000000	
neutral	394.752000	14:53:46.499	All	0.000000	
smile	399.704000	14:53:51.451	All	0.000000	
neutral	406.872000	14:53:58.619	All	0.000000	
frown	414.976000	14:54:06.723	All	0.000000	
neutral	422.232000	14:54:13.979	All	0.000000	
smile	433.576000	14:54:25.323	All	0.000000	
neutral	441.008000	14:54:32.755	All	0.000000	
frown	448.592000	14:54:40.339	All	0.000000	
neutral	455.840000	14:54:47.587	All	0.000000	
Blank	539.647000	14:56:11.394	All	0.000000	
+Dog2	544.671000	14:56:16.418	All	0.000000	
Blank	549.695000	14:56:21.442	All	0.000000	
+Baby2	554.663000	14:56:26.410	All	0.000000	
Blank	559.703000	14:56:31.450	All	0.000000	
-Spider2	564.743000	14:56:36.490	All	0.000000	
Blank	569.775000	14:56:41.522	All	0.000000	
+Friends2	574.799000	14:56:46.546	All	0.000000	
Blank	579.839000	14:56:51.586	All	0.000000	
-Snake	584.855000	14:56:56.602	All	0.000000	
Blank	589.959000	14:57:01.706	All	0.000000	
+Dog1	594.903000	14:57:06.650	All	0.000000	
Blank	599.935000	14:57:11.682	All	0.000000	
-Dog1	605.038000	14:57:16.785	All	0.000000	
Blank	610.071000	14:57:21.818	All	0.000000	
+Cat2	615.111000	14:57:26.858	All	0.000000	
Blank	620.151000	14:57:31.898	All	0.000000	
-Dog2	625.191000	14:57:36.938	All	0.000000	
Blank	630.247000	14:57:41.994	All	0.000000	
-Spider1	635.287000	14:57:47.034	All	0.000000	
Blank	640.343000	14:57:52.090	All	0.000000	
+Dog3	645.303000	14:57:57.050	All	0.000000	
Blank	650.351000	14:58:02.098	All	0.000000	
-Face	655.399000	14:58:07.146	All	0.000000	
Blank	660.447000	14:58:12.194	All	0.000000	
+Friends1	665.487000	14:58:17.234	All	0.000000	
Blank	670.527000	14:58:22.274	All	0.000000	
-Spider3	675.583000	14:58:27.330	All	0.000000	
Blank	680.631000	14:58:32.378	All	0.000000	
+Baby1	685.687000	14:58:37.434	All	0.000000	
Blank	690.727000	14:58:42.474	All	0.000000	
-Cut	695.679000	14:58:47.426	All	0.000000	
Blank	700.792000	14:58:52.539	All	0.000000	
-Gun	705.839000	14:58:57.586	All	0.000000	
Blank	710.895000	14:59:02.642	All	0.000000	
+Cat-Dog	715.927000	14:59:07.674	All	0.000000	
Blank	720.983000	14:59:12.730	All	0.000000	
-Sore	726.015000	14:59:17.762	All	0.000000	
Blank	731.055000	14:59:22.802	All	0.000000	
+Cat1	736.095000	14:59:27.842	All	0.000000	
Blank	741.143000	14:59:32.890	All	0.000000	
