MarkValue	File Time	Real Time	Channel	Ch Value	
smile	8.592000	14:51:51.273	All	0.000000	
neutral	16.496000	14:51:59.177	All	0.000000	
frown	26.200000	14:52:08.881	All	0.000000	
neutral	34.800000	14:52:17.481	All	0.000000	
smile	97.767000	14:53:20.448	All	0.000000	
neutral	112.590000	14:53:35.271	All	0.000000	
frown	119.151000	14:53:41.832	All	0.000000	
neutral	132.535000	14:53:55.216	All	0.000000	
smile	145.223000	14:54:07.904	All	0.000000	
neutral	159.031000	14:54:21.712	All	0.000000	
frown	169.671000	14:54:32.352	All	0.000000	
neutral	186.951000	14:54:49.632	All	0.000000	
Blank	265.399000	14:56:08.080	All	0.000000	
+Baby2	270.431000	14:56:13.112	All	0.000000	
Blank	275.463000	14:56:18.144	All	0.000000	
-Spider2	280.479000	14:56:23.160	All	0.000000	
Blank	285.519000	14:56:28.200	All	0.000000	
+Friends2	290.535000	14:56:33.216	All	0.000000	
Blank	295.646000	14:56:38.327	All	0.000000	
-Snake	300.671000	14:56:43.352	All	0.000000	
Blank	305.695000	14:56:48.376	All	0.000000	
+Dog1	310.719000	14:56:53.400	All	0.000000	
Blank	315.743000	14:56:58.424	All	0.000000	
-Dog1	320.855000	14:57:03.536	All	0.000000	
Blank	325.903000	14:57:08.584	All	0.000000	
+Cat2	330.935000	14:57:13.616	All	0.000000	
Blank	335.975000	14:57:18.656	All	0.000000	
-Dog2	340.999000	14:57:23.680	All	0.000000	
Blank	346.031000	14:57:28.712	All	0.000000	
-Spider1	351.055000	14:57:33.736	All	0.000000	
Blank	356.071000	14:57:38.752	All	0.000000	
+Dog3	361.095000	14:57:43.776	All	0.000000	
Blank	366.119000	14:57:48.800	All	0.000000	
-Face	371.143000	14:57:53.824	All	0.000000	
Blank	376.167000	14:57:58.848	All	0.000000	
+Friends1	381.191000	14:58:03.872	All	0.000000	
Blank	386.215000	14:58:08.896	All	0.000000	
-Spider3	391.238000	14:58:13.919	All	0.000000	
Blank	396.271000	14:58:18.952	All	0.000000	
+Baby1	401.295000	14:58:23.976	All	0.000000	
Blank	406.335000	14:58:29.016	All	0.000000	
-Cut	411.439000	14:58:34.120	All	0.000000	
Blank	416.463000	14:58:39.144	All	0.000000	
-Gun	421.495000	14:58:44.176	All	0.000000	
Blank	426.527000	14:58:49.208	All	0.000000	
+Cat-Dog	431.631000	14:58:54.312	All	0.000000	
Blank	436.663000	14:58:59.344	All	0.000000	
-Sore	441.679000	14:59:04.360	All	0.000000	
Blank	446.719000	14:59:09.400	All	0.000000	
+Cat1	451.735000	14:59:14.416	All	0.000000	
Blank	456.775000	14:59:19.456	All	0.000000	
