MarkValue	File Time	Real Time	Channel	Ch Value	
neutral	4.944000	15:14:22.569	All	0.000000	
smile	12.360000	15:14:29.985	All	0.000000	
neutral	22.928000	15:14:40.553	All	0.000000	
frown	28.736000	15:14:46.361	All	0.000000	
neutral	34.704000	15:14:52.329	All	0.000000	
smile	40.816000	15:14:58.441	All	0.000000	
neutral	45.936000	15:15:03.561	All	0.000000	
frown	50.800000	15:15:08.425	All	0.000000	
Blank	57.616000	15:15:15.241	All	0.000000	
+Dog2	62.640000	15:15:20.265	All	0.000000	
Blank	67.672000	15:15:25.297	All	0.000000	
+Baby2	72.712000	15:15:30.337	All	0.000000	
Blank	77.744000	15:15:35.369	All	0.000000	
-Spider2	82.784000	15:15:40.409	All	0.000000	
Blank	87.832000	15:15:45.457	All	0.000000	
+Friends2	92.856000	15:15:50.481	All	0.000000	
Blank	97.872000	15:15:55.497	All	0.000000	
-Snake	102.912000	15:16:00.537	All	0.000000	
Blank	107.960000	15:16:05.585	All	0.000000	
+Dog1	112.992000	15:16:10.617	All	0.000000	
Blank	118.024000	15:16:15.649	All	0.000000	
-Dog1	123.048000	15:16:20.673	All	0.000000	
Blank	128.096000	15:16:25.721	All	0.000000	
+Cat2	133.128000	15:16:30.753	All	0.000000	
Blank	138.160000	15:16:35.785	All	0.000000	
-Dog2	143.200000	15:16:40.825	All	0.000000	
Blank	148.232000	15:16:45.857	All	0.000000	
-Spider1	153.256000	15:16:50.881	All	0.000000	
Blank	158.288000	15:16:55.913	All	0.000000	
+Dog3	163.320000	15:17:00.945	All	0.000000	
Blank	168.352000	15:17:05.977	All	0.000000	
-Face	173.384000	15:17:11.009	All	0.000000	
Blank	178.408000	15:17:16.033	All	0.000000	
+Friends1	183.432000	15:17:21.057	All	0.000000	
Blank	188.456000	15:17:26.081	All	0.000000	
-Spider3	193.488000	15:17:31.113	All	0.000000	
Blank	198.520000	15:17:36.145	All	0.000000	
+Baby1	203.560000	15:17:41.185	All	0.000000	
Blank	208.592000	15:17:46.217	All	0.000000	
-Cut	213.624000	15:17:51.249	All	0.000000	
Blank	218.648000	15:17:56.273	All	0.000000	
-Gun	223.680000	15:18:01.305	All	0.000000	
Blank	228.728000	15:18:06.353	All	0.000000	
+Cat-Dog	233.760000	15:18:11.385	All	0.000000	
Blank	238.792000	15:18:16.417	All	0.000000	
-Sore	243.824000	15:18:21.449	All	0.000000	
Blank	248.864000	15:18:26.489	All	0.000000	
+Cat1	253.904000	15:18:31.529	All	0.000000	
Blank	258.944000	15:18:36.569	All	0.000000	
