MarkValue	File Time	Real Time	Channel	Ch Value	
smile	133.264000	15:15:26.086	All	0.000000	
neutral	142.056000	15:15:34.878	All	0.000000	
smile	172.256000	15:16:05.078	All	0.000000	
neutral	177.224000	15:16:10.046	All	0.000000	
smile	190.088000	15:16:22.910	All	0.000000	
neutral	195.296000	15:16:28.118	All	0.000000	
frown	210.064000	15:16:42.886	All	0.000000	
neutral	215.432000	15:16:48.254	All	0.000000	
frown	230.192000	15:17:03.014	All	0.000000	
neutral	235.656000	15:17:08.478	All	0.000000	
frown	250.144000	15:17:22.966	All	0.000000	
neutral	256.024000	15:17:28.846	All	0.000000	
Blank	327.214000	15:18:40.036	All	0.000000	
+Dog2	332.230000	15:18:45.052	All	0.000000	
Blank	337.278000	15:18:50.100	All	0.000000	
+Baby2	342.334000	15:18:55.156	All	0.000000	
Blank	347.374000	15:19:00.196	All	0.000000	
-Spider2	352.414000	15:19:05.236	All	0.000000	
Blank	357.454000	15:19:10.276	All	0.000000	
+Friends2	362.486000	15:19:15.308	All	0.000000	
Blank	367.534000	15:19:20.356	All	0.000000	
-Snake	372.566000	15:19:25.388	All	0.000000	
Blank	377.622000	15:19:30.444	All	0.000000	
+Dog1	382.662000	15:19:35.484	All	0.000000	
Blank	387.710000	15:19:40.532	All	0.000000	
-Dog1	392.758000	15:19:45.580	All	0.000000	
Blank	397.814000	15:19:50.636	All	0.000000	
+Cat2	402.862000	15:19:55.684	All	0.000000	
Blank	407.902000	15:20:00.724	All	0.000000	
-Dog2	412.942000	15:20:05.764	All	0.000000	
Blank	417.982000	15:20:10.804	All	0.000000	
-Spider1	423.030000	15:20:15.852	All	0.000000	
Blank	428.078000	15:20:20.900	All	0.000000	
+Dog3	433.126000	15:20:25.948	All	0.000000	
Blank	438.166000	15:20:30.988	All	0.000000	
-Face	443.206000	15:20:36.028	All	0.000000	
Blank	448.254000	15:20:41.076	All	0.000000	
+Friends1	453.302000	15:20:46.124	All	0.000000	
Blank	458.350000	15:20:51.172	All	0.000000	
-Spider3	463.390000	15:20:56.212	All	0.000000	
Blank	468.438000	15:21:01.260	All	0.000000	
+Baby1	473.478000	15:21:06.300	All	0.000000	
Blank	478.518000	15:21:11.340	All	0.000000	
-Cut	483.478000	15:21:16.300	All	0.000000	
Blank	488.526000	15:21:21.348	All	0.000000	
-Gun	493.566000	15:21:26.388	All	0.000000	
Blank	498.622000	15:21:31.444	All	0.000000	
+Cat-Dog	503.662000	15:21:36.484	All	0.000000	
Blank	508.718000	15:21:41.540	All	0.000000	
-Sore	513.766000	15:21:46.588	All	0.000000	
Blank	518.798000	15:21:51.620	All	0.000000	
+Cat1	523.838000	15:21:56.660	All	0.000000	
Blank	528.878000	15:22:01.700	All	0.000000	
